,Wilaya,Lat,Lon,Ph,Calcaire Total,Matiere Organique (MO),Capacite d'echange Cationique (CEC),Conductivite electrique (CE),Densite Apparente (Da),Depth
264,Tipaza,36.633333,2.483333,8.14,26.6,2.56,23.4,1.37,1.36,"[0.0, 20.0]"
265,Batna,35.555,6.1667,7.55,24.1,2.21,15.6,0.312,1.35,"[0.0, 30.0]"
266,Tiaret,35.3667,1.1333,8.1,14.5,2.3,24.7,0.53,1.35,"[0.0, 30.0]"
267,Batna,35.5556,6.1667,7.5,15.6,2.4,15.2,0.45,1.4,"[0.0, 30.0]"
268,Tiaret,35.2833,1.8667,7.2,11.1,2.5,24.6,0.35,1.4,"[0.0, 20.0]"
269,Setif,36.1858,5.4137,7.82,53.25,1.45,19.5,0.35,1.35,"[0.0, 20.0]"
271,Batna,35.3833,5.8667,7.5,33.1,2.1,24.5,0.44,1.39,"[0.0, 30.0]"
272,Tiaret,35.3752,1.3194,7.95,3.22,1.85,14.1,0.23,1.35,"[0.0, 20.0]"
273,Tiaret,35.3833,1.8333,7.8,315.0,2.1,21.5,1.5,1.35,"[0.0, 20.0]"
285,Tipaza,36.583333,2.45,7.42,84.88,3.95,24.53,0.23,1.35,"[0.0, 30.0]"
290,Tipaza,36.5639,2.4439,7.85,10.3,2.45,24.5,1056.0,1.35,"[0.0, 20.0]"
295,Batna,35.55,6.16,7.4,23.1,2.3,14.2,118.0,1.4,"[0.0, 20.0]"
297,Tlemcen,34.8825,1.308333,7.35,18.75,2.25,12.5,250.0,1.45,"[0.0, 20.0]"
298,Batna,35.5553,6.1743,7.34,14.52,3.12,14.75,0.34,1.35,"[0.0, 30.0]"
299,Batna,35.5522,6.1644,8.22,23.4,2.56,25.1,0.53,1.42,"[0.0, 30.0]"
308,Tiaret,35.3833,1.0667,7.8,11.4,1.8,24.1,1.2,1.3,"[0.0, 20.0]"
309,Constantine,36.365302,6.613833,0.0,0.0,10.0,0.0,0.0,0.0,0
313,Mostaganem,35.9333,0.05,7.9,34.1,2.1,14.3,0.21,1.35,"[0.0, 20.0]"
314,Tiaret,35.3833,1.4667,6.5,100.0,3.4,61.0,90.0,1.4,7000.0
315,Tiaret,35.3772,1.4639,7.5,350.0,2.5,12.0,1.2,1.6,"[0.0, 20.0]"
316,Batna,35.3833,6.1667,8.3,12.8,1.4,12.6,0.35,1.4,"[20.0, 40.0]"
321,Tiaret,35.3823,1.4444,7.3,12.3,2.15,15.2,0.55,1.35,"[0.0, 20.0]"
325,Tlemcen,34.8833,1.3167,7.44,24.1,4.5,21.5,1.35,1.25,"[0.0, 20.0]"
331,Mostaganem,35.9139,0.0973,7.44,23.6,2.46,17.2,0.22,1.32,20.0
334,Mostaganem,35.9333,0.1167,7.3,24.79,22.18,0.099,0.234,1.63,20.0
336,Batna,35.558611,6.175833,7.59,21.6,1.93,23.1,0.39,1.35,"[0.0, 20.0]"
352,Batna,35.5536,6.1683,7.8,150.0,14.5,30.0,220.0,1.2,"[0.0, 20.0]"
353,Batna,35.55,6.17,8.12,27.5,2.5,15.8,1.27,1.35,"[0.0, 20.0]"
355,Tamanrasset,22.7903,5.5289,8.12,14.5,2.95,16.2,0.42,1.48,"[0.0, 30.0]"
359,Batna,34.05,6.55,7.4,25.6,2.85,24.3,420.0,1.33,"[0.0, 30.0]"
360,Tipaza,36.57,2.45,7.8,15.2,2.4,21.5,0.16,1.43,"[0.0, 30.0]"
361,Batna,35.6253,5.7833,8.2,86.0,3.53,24.17,0.14,1.47,"[0.0, 25.0]"
362,Batna,35.5328,6.1032,7.4,34.2,4.1,16.3,0.15,1.45,"[0.0, 30.0]"
363,Biskra,34.85,5.73,7.8,220.8,1.45,22.4,0.44,1.44,"[0.0, 30.0]"
364,Batna,35.5667,5.6333,7.3,21.6,9.2,29.4,145.0,1.55,"[0.0, 30.0]"
366,Medea,36.273833,2.773333,7.5,15.0,2.4,18.0,0.36,1.33,20
370,Batna,35.6167,5.6333,7.34,34.5,4.12,14.5,0.215,1.35,25.0
371,Constantine,36.3607,6.6122,7.8,34.5,2.15,18.2,450.0,1.4,"[0.0, 30.0]"
373,Batna,35.533333,6.066667,7.48,15.4,10.78,57.84,0.39,1.73,"[0.0, 25.0]"
374,Batna,35.5667,6.1667,7.14,43.85,34.74,36.23,57.18,1.8,"[0.0, 25.0]"
375,Batna,35.5323,6.0353,6.29,15900.0,5377.0,7200.0,1670.0,1.53,"[0.0, 30.0]"
377,Batna,35.55,6.16,7.0,2450.0,1221.0,20.0,0.5265,1.1577,1800
378,Batna,35.55,6.2,7.4,2940.0,2.5,21.0,0.5004,1.4,"[0.0, 30.0]"
382,Tipaza,36.583333,2.45,7.23,15.62,3.45,22.15,0.28,1.35,"[0.0, 30.0]"
385,Bejaea,36.75,5.05,7.8,22.5,12.6,23.1,0.43,1.35,"[0.0, 20.0]"
388,Batna,35.5467,6.0558,7.4,24.8,4.2,18.3,0.45,1.35,"[0.0, 30.0]"
390,Constantine,36.3577,6.6214,7.8,12.8,2.3,24.6,0.3,1.3,"[0.0, 30.0]"
392,Batna,35.567,6.167,7.56,124.45,2.86,14.24,0.881,1.58,20
402,Relizane,35.7372,0.5536,8.1,45.0,1.5,20.0,250.0,1.4,"[0.0, 30.0]"
404,Tipaza,36.56789,2.43456,7.5,120.0,2.4,24.0,0.25,1.35,"[0.0, 20.0]"
406,Mostaganem,35.9333,0.1333,7.8,40.5,1.8,24.4,0.4,1.4,"[0.0, 20.0]"
